,suburb
505,Boomanoomana
506,Boomerang Beach
507,Boomey
508,Boomi
509,Boomi Creek
510,Boona Mount
511,Boonal
512,Boonoo Boonoo
513,Boorabee Park
514,Booragul
515,Booral
516,Boorga
517,Boorganna
518,Boorolong
519,Boorook
520,Boorooma
521,Booroorban
522,Boorowa
523,Bootawa
524,Booti Booti
525,Booyong
526,Bora Ridge
527,Borah Creek
528,Borambil
529,Borambola
530,Border Ranges
531,Boree
532,Boree Creek
533,Borenore
534,Boro
535,Bossley Park
536,Bostobrick
537,Botany
538,Botany Bay
539,Botobolar
540,Bottle Creek
541,Bouddi
542,Bourbah
543,Bourke
544,Bourkelands
545,Bournda
546,Bournewood
547,Bow Bowing
548,Bowan Park
549,Bowen Mountain
550,Bowenfels
551,Bowling Alley Point
552,Bowman
553,Bowman Farm
554,Bowmans Creek
555,Bowna
556,Bowning
557,Bowral
558,Bowraville
559,Box Head
560,Box Hill
561,Boxers Creek
562,Boydtown
563,Bradbury
564,Bradfield
565,Braefield
566,Braemar
567,Braemar Bay
568,Braidwood
569,Brandy Hill
570,Branxton
571,Braunstone
572,Brawboy
573,Bray Park
574,Brays Creek
575,Brayton
576,Breadalbane
577,Breakfast Creek
578,Breakfast Point
579,Bream Beach
580,Bredbo
581,Breelong
582,Breeza
583,Brereton
584,Bretti
585,Brewarrina
586,Brewongle
587,Briarbrook
588,Bribbaree
589,Bridgman
590,Brierfield
591,Brighton-Le-Sands
592,Brightwaters
593,Bril Bril
594,Brimbin
595,Brindabella
596,Brinerville
597,Bringelly
598,Bringenbrong
599,Brisbane Grove
600,Broadmeadow
601,Broadwater
602,Broadwater
603,Broadway
604,Brobenah
605,Brocklehurst
606,Brocklesby
607,Brockley
608,Brodies Plains
609,Brogans Creek
610,Brogers Creek
611,Brogo
612,Broke
613,Broken Dam
614,Broken Head
615,Broken Hill
616,Brombin
617,Bronte
618,Brookdale
619,Brookfield
620,Brooklana
621,Brooklet
622,Brooklyn
623,Brookong
624,Brookvale
625,Brooman
626,Brooms Head
627,Broughams Gate
628,Broughton
629,Broughton Vale
630,Broughton Village
631,Broulee
632,Brownlow Hill
633,Browns Creek
634,Browns Mountain
635,Brownsville
636,Brucedale
637,Bruie Plains
638,Bruinbun
639,Brumby Plains
640,Brundee
641,Brungle
642,Brungle Creek
643,Brunkerville
644,Brunswick Heads
645,Brushgrove
646,Brushy Creek
647,Buangla
648,Bucca
649,Bucca Wauka
650,Buccarumbi
651,Buchanan
652,Buckajo
653,Buckaroo
654,Buckenbowra
655,Buckenderra
656,Buckendoon
657,Bucketty
658,Buckra Bendinni
659,Budawang
660,Buddabadah
661,Budden
662,Budderoo
663,Buddong
664,Budgee Budgee
665,Budgewoi
666,Budgewoi
667,Budgewoi Peninsula
668,Budgong
669,Buff Point
670,Bugaldie
671,Bukalong
672,Bukkulla
673,Bulahdelah
674,Bulee
675,Bulga
676,Bulga Forest
677,Bulgary
678,Bulla
679,Bulla Creek
680,Bullaburra
681,Bullagreen
682,Bullarah
683,Bullatale
684,Bullawa Creek
685,Bulldog
686,Bulli
687,Bulliac
688,Bullio
689,Bullocks Flat
690,Bulyeroi
691,Bumbaldry
692,Bumbalong
693,Bumberry
694,Bundabah
695,Bundagen
696,Bundanoon
697,Bundarra
698,Bundeena
699,Bundella
700,Bundemar
701,Bundewallah
702,Bundook
703,Bundure
704,Bungaba
705,Bungabbee
706,Bungalora
707,Bungarby
708,Bungarribee
709,Bungawalbin
710,Bungendore
711,Bungonia
712,Bungowannah
713,Bungwahl
714,Bunnaloo
715,Bunnan
716,Bunyah
717,Bunyan
718,Burcher
719,Bureen
720,Burnt Bridge
721,Burnt Yards
722,Buronga
723,Burra
724,Burra
725,Burra Creek
726,Burraboi
727,Burradoo
728,Burraga
729,Burragate
730,Burragorang Valley
731,Burrandana
732,Burraneer
733,Burrangong
734,Burrapine
735,Burrawang
736,Burrell Creek
737,Burren Junction
738,Burrier
739,Burrill Lake
740,Burringbar
741,Burrinjuck
742,Burroway
743,Burrumbuttock
744,Burrundulla
745,Burrungubugge
746,Burwood
747,Burwood Heights
748,Busby
749,Busbys Flat
750,Bushells Ridge
751,Buttaba
752,Buttai
753,Butterwick
754,Buxton
755,Byabarra
756,Byadbo Wilderness
757,Byangum
758,Bylong
759,Byng
760,Byrock
761,Byron Bay
762,Byrrill Creek
763,Bywong
764,Cabarita
765,Cabarita Beach
766,Cabbage Tree Island
767,Cabbage Tree Island
768,Cabramatta
769,Cabramatta West
770,Cabramurra
771,Caddens
772,Cadgee
773,Cadia
774,Caerleon
775,Caffreys Flat
776,Cairncross
777,Calala
778,Calamia
779,Calderwood
780,Caldwell
781,Calga
782,Califat
783,Calimo
784,Callaghan
785,Callaghans Creek
786,Callala Bay
787,Callala Beach
788,Calliope
789,Caloola
790,Cambalong
791,Camberwell
792,Cambewarra
793,Cambewarra Village
794,Camboon
795,Cambra
796,Cambridge Gardens
797,Cambridge Park
798,Cambridge Plateau
799,Camden
800,Camden Head
801,Camden Park
802,Camden South
803,Camellia
804,Cameron Park
805,Camerons Creek
806,Camira
807,Cammeray
808,Camp Creek
809,Campbelltown
810,Camperdown
811,Campsie
812,Campvale
813,Cams Wharf
814,Canada Bay
815,Canadian Lead
816,Canbelego
817,Candelo
818,Cangai
819,Caniaba
820,Canley Heights
821,Canley Vale
822,Canobolas
823,Canoelands
824,Canonba
825,Canowindra
826,Canterbury
827,Canton Beach
828,Canyonleigh
829,Caparra
830,Capeen Creek
831,Capertee
832,Capoompeta
833,Captains Flat
834,Carabost
835,Caragabal
836,Carcalgong
837,Carcoar
838,Cardiff
839,Cardiff Heights
840,Cardiff South
841,Carey Bay
842,Cargo
843,Carinda
844,Caringbah
845,Caringbah South
846,Carlaminda
847,Carlingford
848,Carlton
849,Carnes Hill
850,Carnham
851,Carool
